term,score,polarity,freq_misogynistic,freq_non_misogynistic,total_freq
heterofob,0.0004,neutral,5,1,6
mérit,0.0004,neutral,5,11,16
dign,0.0004,neutral,8,53,61
além,0.0004,neutral,14,135,149
march,0.0004,neutral,6,14,20
tret,0.0003,neutral,5,30,35
delinqu,0.0003,neutral,3,5,8
psol,0.0003,neutral,5,19,24
ateu,0.0003,neutral,4,9,13
panel,0.0003,neutral,5,22,27
crédit,0.0003,neutral,5,28,33
bebê,0.0003,neutral,5,30,35
cont,0.0003,neutral,40,500,540
liber,0.0003,neutral,6,34,40
pênil,0.0003,neutral,4,2,6
facil,0.0003,neutral,5,20,25
demon,0.0003,neutral,4,8,12
explor,0.0003,neutral,4,3,7
polic,0.0003,neutral,5,27,32
xand,0.0003,neutral,3,4,7
caix,0.0003,neutral,7,55,62
vand,0.0003,neutral,4,3,7
batalh,0.0003,neutral,5,23,28
montanh,0.0003,neutral,3,3,6
assalt,0.0003,neutral,5,23,28
intencion,0.0003,neutral,4,3,7
tont,0.0003,neutral,3,6,9
robô,0.0003,neutral,3,6,9
fême,0.0003,neutral,4,2,6
gasolin,0.0003,neutral,3,5,8
derram,0.0003,neutral,4,9,13
culh,0.0003,neutral,3,6,9
índol,0.0003,neutral,4,5,9
crista,0.0003,neutral,4,4,8
mexic,0.0003,neutral,4,8,12
nerd,0.0003,neutral,4,8,12
comunic,0.0003,neutral,4,17,21
prote,0.0003,neutral,4,7,11
aliás,0.0003,neutral,6,44,50
fart,0.0003,neutral,4,10,14
confirm,0.0003,neutral,5,27,32
estrag,0.0003,neutral,5,33,38
atrás,0.0003,neutral,11,111,122
resist,0.0003,neutral,5,30,35
inst,0.0003,neutral,8,62,70
saib,0.0003,neutral,6,42,48
just,0.0003,neutral,8,62,70
destró,0.0003,neutral,4,11,15
contamin,0.0003,neutral,3,3,6
incub,0.0003,neutral,4,4,8
fort,0.0003,neutral,12,120,132
atend,0.0003,neutral,7,53,60
ganânc,0.0003,neutral,3,4,7
youtub,0.0003,neutral,7,45,52
havan,0.0003,neutral,3,3,6
bigod,0.0003,neutral,3,3,6
desgraç,0.0003,neutral,21,237,258
discut,0.0003,neutral,6,40,46
combat,0.0003,neutral,6,40,46
chantag,0.0003,neutral,4,4,8
macarr,0.0003,neutral,4,11,15
discórd,0.0003,neutral,4,4,8
cavalh,0.0003,neutral,3,5,8
bizarr,0.0003,neutral,4,14,18
nível,0.0003,neutral,7,48,55
implant,0.0003,neutral,4,7,11
rora,0.0003,neutral,4,4,8
vind,0.0003,neutral,10,93,103
pequen,0.0003,neutral,10,87,97
surpr,0.0003,neutral,5,28,33
irrespons,0.0003,neutral,5,17,22
conselh,0.0003,neutral,7,49,56
misogin,0.0003,neutral,3,2,5
deboch,0.0003,neutral,5,19,24
bunda,0.0003,neutral,3,3,6
ranç,0.0003,neutral,5,24,29
enfi,0.0003,neutral,7,57,64
traí,0.0003,neutral,3,2,5
cagaç,0.0003,neutral,3,3,6
alhei,0.0003,neutral,4,7,11
propõ,0.0003,neutral,4,3,7
apedrej,0.0003,neutral,4,8,12
apeg,0.0003,neutral,3,6,9
opos,0.0003,neutral,3,5,8
laranj,0.0003,neutral,4,12,16
fidel,0.0003,neutral,4,4,8
peix,0.0003,neutral,5,26,31
comp,0.0003,neutral,4,15,19
maracuta,0.0003,neutral,3,2,5
demasi,0.0003,neutral,4,6,10
fard,0.0003,neutral,3,3,6
crent,0.0003,neutral,4,17,21
hipocrit,0.0003,neutral,3,6,9
cred,0.0003,neutral,6,42,48
agress,0.0003,neutral,5,22,27
apes,0.0003,neutral,8,60,68
sant,0.0003,neutral,14,143,157
deform,0.0003,neutral,3,4,7
psdb,0.0003,neutral,5,24,29
ptist,0.0003,neutral,3,2,5
retrat,0.0003,neutral,4,17,21
internationalwomensday,0.0003,neutral,3,3,6
cocô,0.0003,neutral,4,8,12
dupl,0.0003,neutral,7,45,52
penal,0.0003,neutral,4,4,8
egoíst,0.0003,neutral,4,13,17
donzel,0.0003,neutral,3,3,6
apodrec,0.0003,neutral,3,5,8
opres,0.0003,neutral,4,10,14
cabr,0.0003,neutral,4,16,20
impun,0.0003,neutral,5,16,21
gordofob,0.0003,neutral,3,5,8
dissimul,0.0003,neutral,4,3,7
deplor,0.0003,neutral,4,4,8
reag,0.0003,neutral,4,18,22
aguent,0.0003,neutral,15,165,180
minist,0.0003,neutral,6,30,36
americ,0.0003,neutral,7,54,61
gêner,0.0003,neutral,5,20,25
campanh,0.0003,neutral,7,58,65
islã,0.0003,neutral,4,4,8
crech,0.0003,neutral,3,5,8
respost,0.0003,neutral,6,36,42
aparent,0.0003,neutral,5,17,22
futebol,0.0003,neutral,13,125,138
desmoral,0.0003,neutral,3,2,5
venh,0.0003,neutral,7,45,52
cart,0.0003,neutral,9,84,93
adivinh,0.0003,neutral,3,5,8
travec,0.0003,neutral,4,6,10
expõ,0.0003,neutral,3,6,9
pest,0.0003,neutral,4,6,10
migr,0.0003,neutral,3,5,8
samb,0.0003,neutral,4,12,16
hqeh,0.0003,neutral,4,4,8
desment,0.0003,neutral,3,6,9
contraditóri,0.0003,neutral,3,3,6
mesquit,0.0003,neutral,4,4,8
chin,0.0003,neutral,5,23,28
sarr,0.0003,neutral,4,7,11
medíocr,0.0003,neutral,5,17,22
censur,0.0003,neutral,4,11,15
ideológ,0.0003,neutral,4,4,8
apanh,0.0003,neutral,8,57,65
otári,0.0003,neutral,5,22,27
turist,0.0003,neutral,4,6,10
valoriz,0.0003,neutral,4,20,24
ptralh,0.0003,neutral,4,8,12
articul,0.0003,neutral,4,9,13
sangr,0.0003,neutral,4,11,15
jorn,0.0003,neutral,11,100,111
report,0.0003,neutral,5,33,38
duvid,0.0003,neutral,8,68,76
boicot,0.0003,neutral,5,29,34
marcel,0.0003,neutral,5,32,37
tamanh,0.0003,neutral,7,46,53
prepar,0.0003,neutral,9,70,79
separ,0.0003,neutral,5,22,27
marrom,0.0003,neutral,3,2,5
presídi,0.0003,neutral,3,4,7
descobr,0.0003,neutral,11,101,112
ambul,0.0003,neutral,4,4,8
distorc,0.0003,neutral,4,6,10
relev,0.0003,neutral,5,29,34
cruel,0.0003,neutral,4,13,17
express,0.0003,neutral,5,16,21
venen,0.0003,neutral,4,14,18
ocid,0.0003,neutral,4,10,14
vener,0.0003,neutral,4,4,8
pratic,0.0003,neutral,6,47,53
infam,0.0003,neutral,3,2,5
guit,0.0003,neutral,3,3,6
somostodosdam,0.0003,neutral,4,6,10
frang,0.0003,neutral,5,19,24
acas,0.0003,neutral,4,13,17
rind,0.0003,neutral,8,73,81
prez,0.0003,neutral,4,10,14
queiroz,0.0003,neutral,5,25,30
barc,0.0003,neutral,3,4,7
derrot,0.0003,neutral,6,35,41
cristian,0.0003,neutral,4,12,16
declar,0.0003,neutral,5,34,39
agred,0.0003,neutral,4,9,13
stalin,0.0003,neutral,4,6,10
simon,0.0003,neutral,3,3,6
serviç,0.0003,neutral,6,37,43
suec,0.0003,neutral,3,6,9
fuzil,0.0003,neutral,4,4,8
violent,0.0003,neutral,4,5,9
enrust,0.0003,neutral,4,2,6
decepç,0.0003,neutral,4,11,15
bostonar,0.0003,neutral,3,4,7
adeu,0.0003,neutral,4,4,8
cost,0.0003,neutral,7,53,60
sequ,0.0003,neutral,4,19,23
alfabet,0.0003,neutral,3,4,7
benedit,0.0003,neutral,6,43,49
explic,0.0003,neutral,12,124,136
castr,0.0003,neutral,4,7,11
embaix,0.0003,neutral,5,27,32
depil,0.0003,neutral,3,2,5
fakenew,0.0003,neutral,4,11,15
fazend,0.0003,neutral,4,15,19
descarad,0.0003,neutral,3,4,7
chifrud,0.0003,neutral,3,5,8
except,0.0003,neutral,4,2,6
braç,0.0003,neutral,6,40,46
russ,0.0003,neutral,6,35,41
janain,0.0003,neutral,4,3,7
constitu,0.0003,neutral,6,30,36
prêmi,0.0003,neutral,4,17,21
isla,0.0003,neutral,3,3,6
monic,0.0003,neutral,3,3,6
freix,0.0003,neutral,4,12,16
esgot,0.0003,neutral,4,18,22
prec,0.0003,neutral,3,5,8
conviv,0.0003,neutral,5,21,26
grev,0.0003,neutral,4,8,12
investig,0.0003,neutral,7,44,51
acus,0.0003,neutral,7,58,65
arrog,0.0003,neutral,5,20,25
varr,0.0003,neutral,4,2,6
coincid,0.0003,neutral,4,9,13
eduard,0.0003,neutral,7,54,61
pinguç,0.0003,neutral,4,4,8
vantag,0.0003,neutral,4,11,15
maqui,0.0003,neutral,4,20,24
maconh,0.0003,neutral,11,101,112
grad,0.0003,neutral,3,2,5
poder,0.0003,neutral,4,19,23
bonec,0.0003,neutral,4,9,13
amér,0.0003,neutral,5,28,33
mart,0.0003,neutral,4,8,12
atra,0.0003,neutral,4,5,9
esfreg,0.0003,neutral,4,4,8
saque,0.0003,neutral,4,6,10
legend,0.0003,neutral,5,19,24
acolh,0.0003,neutral,4,15,19
sélf,0.0003,neutral,3,3,6
inseg,0.0003,neutral,3,3,6
inacredit,0.0003,neutral,4,16,20
patrocin,0.0003,neutral,4,4,8
diadamulh,0.0003,neutral,6,32,38
péss,0.0003,neutral,6,35,41
complet,0.0003,neutral,12,116,128
trem,0.0003,neutral,5,28,33
lamb,0.0003,neutral,5,31,36
inter,0.0003,neutral,6,39,45
nazist,0.0003,neutral,5,21,26
decid,0.0003,neutral,7,49,56
ruim,0.0003,neutral,20,228,248
aliment,0.0003,neutral,6,37,43
cens,0.0003,neutral,6,42,48
vegetari,0.0003,neutral,4,8,12
imediat,0.0003,neutral,3,5,8
antig,0.0003,neutral,7,47,54
trafic,0.0003,neutral,5,18,23
sensacion,0.0003,neutral,3,6,9
pint,0.0003,neutral,12,122,134
milic,0.0003,neutral,3,4,7
enterr,0.0003,neutral,4,5,9
afff,0.0003,neutral,4,14,18
carec,0.0003,neutral,4,17,21
atual,0.0003,neutral,5,25,30
apropri,0.0003,neutral,4,2,6
territóri,0.0003,neutral,3,3,6
terês,0.0003,neutral,4,2,6
bande,0.0003,neutral,4,17,21
janaín,0.0003,neutral,5,23,28
mulat,0.0003,neutral,3,3,6
froux,0.0003,neutral,4,13,17
fras,0.0003,neutral,8,59,67
parab,0.0003,neutral,5,20,25
padr,0.0003,neutral,10,91,101
hahahah,0.0003,neutral,7,58,65
marx,0.0003,neutral,5,17,22
assust,0.0003,neutral,5,28,33
tosc,0.0003,neutral,3,5,8
atenç,0.0003,neutral,10,87,97
caíd,0.0003,neutral,3,4,7
lenh,0.0003,neutral,3,3,6
prefeit,0.0003,neutral,8,66,74
luladra,0.0003,neutral,3,2,5
ocup,0.0003,neutral,4,17,21
bolsomit,0.0003,neutral,3,2,5
conquist,0.0003,neutral,5,29,34
diainternacionaldamulh,0.0003,neutral,4,8,12
fraud,0.0003,neutral,5,22,27
bloqu,0.0003,neutral,3,4,7
carreg,0.0003,neutral,7,49,56
libert,0.0003,neutral,6,41,47
cabec,0.0003,neutral,4,6,10
milíc,0.0003,neutral,4,8,12
surd,0.0003,neutral,4,6,10
médic,0.0003,neutral,5,22,27
dinossaur,0.0003,neutral,4,11,15
destaqu,0.0003,neutral,5,16,21
adormec,0.0003,neutral,3,2,5
revist,0.0003,neutral,6,33,39
indic,0.0003,neutral,7,53,60
plen,0.0003,neutral,6,45,51
escrav,0.0003,neutral,4,18,22
cristin,0.0003,neutral,5,17,22
artig,0.0003,neutral,4,20,24
trev,0.0003,neutral,4,7,11
esclarec,0.0003,neutral,3,2,5
supost,0.0003,neutral,4,12,16
atroc,0.0003,neutral,4,8,12
lacr,0.0003,neutral,6,35,41
bolsomerd,0.0003,neutral,3,2,5
letr,0.0003,neutral,4,14,18
acrescent,0.0003,neutral,4,4,8
perseg,0.0003,neutral,4,4,8
ating,0.0003,neutral,4,16,20
págin,0.0003,neutral,5,31,36
afet,0.0002,neutral,2,11,13
intervenç,0.0002,neutral,2,10,12
interfer,0.0002,neutral,3,11,14
prof,0.0002,neutral,4,24,28
mint,0.0002,neutral,2,4,6
colon,0.0002,neutral,2,8,10
higiên,0.0002,neutral,2,6,8
viag,0.0002,neutral,6,51,57
agoniz,0.0002,neutral,2,8,10
fars,0.0002,neutral,2,9,11
batom,0.0002,neutral,2,4,6
amém,0.0002,neutral,5,42,47
travest,0.0002,neutral,3,11,14
denúnc,0.0002,neutral,3,15,18
conv,0.0002,neutral,3,9,12
boqu,0.0002,neutral,3,16,19
repit,0.0002,neutral,2,9,11
administr,0.0002,neutral,3,17,20
chec,0.0002,neutral,2,3,5
autist,0.0002,neutral,2,7,9
joan,0.0002,neutral,2,7,9
puls,0.0002,neutral,3,11,14
statu,0.0002,neutral,3,19,22
homen,0.0002,neutral,5,40,45
fever,0.0002,neutral,2,4,6
fantas,0.0002,neutral,3,7,10
decl,0.0002,neutral,2,7,9
escond,0.0002,neutral,6,60,66
tomb,0.0002,neutral,3,7,10
homicídi,0.0002,neutral,2,6,8
hospíci,0.0002,neutral,2,4,6
cuban,0.0002,neutral,3,8,11
imagin,0.0002,neutral,21,264,285
manuel,0.0002,neutral,3,13,16
espum,0.0002,neutral,2,4,6
biolog,0.0002,neutral,2,10,12
camil,0.0002,neutral,4,30,34
defin,0.0002,neutral,6,50,56
fotograf,0.0002,neutral,2,9,11
fost,0.0002,neutral,2,8,10
estádi,0.0002,neutral,4,22,26
inset,0.0002,neutral,2,4,6
campeã,0.0002,neutral,4,28,32
prevalec,0.0002,neutral,2,4,6
bissexual,0.0002,neutral,2,4,6
meig,0.0002,neutral,2,8,10
traz,0.0002,neutral,7,67,74
chiqu,0.0002,neutral,3,16,19
concert,0.0002,neutral,2,7,9
estupid,0.0002,neutral,2,3,5
birr,0.0002,neutral,2,10,12
canc,0.0002,neutral,2,4,6
compartilh,0.0002,neutral,7,74,81
cúmplic,0.0002,neutral,2,7,9
marqu,0.0002,neutral,4,21,25
encost,0.0002,neutral,3,9,12
esquisit,0.0002,neutral,2,4,6
devast,0.0002,neutral,2,3,5
sold,0.0002,neutral,2,10,12
public,0.0002,neutral,6,56,62
retir,0.0002,neutral,3,16,19
vict,0.0002,neutral,2,8,10
desqualific,0.0002,neutral,2,6,8
senã,0.0002,neutral,3,16,19
mestr,0.0002,neutral,3,19,22
pornô,0.0002,neutral,3,21,24
decent,0.0002,neutral,3,14,17
desavis,0.0002,neutral,2,6,8
coelh,0.0002,neutral,3,11,14
dement,0.0002,neutral,4,21,25
vulg,0.0002,neutral,2,4,6
atent,0.0002,neutral,3,22,25
vampir,0.0002,neutral,2,3,5
histér,0.0002,neutral,2,3,5
misera,0.0002,neutral,2,4,6
autorit,0.0002,neutral,3,8,11
saúd,0.0002,neutral,6,64,70
dent,0.0002,neutral,4,21,25
repar,0.0002,neutral,3,19,22
estimul,0.0002,neutral,2,3,5
despert,0.0002,neutral,3,11,14
vaqu,0.0002,neutral,2,8,10
papagai,0.0002,neutral,2,4,6
crivell,0.0002,neutral,2,8,10
verb,0.0002,neutral,3,19,22
pitac,0.0002,neutral,2,4,6
alguém,0.0002,neutral,32,405,437
famil,0.0002,neutral,4,23,27
liberdad,0.0002,neutral,6,53,59
afast,0.0002,neutral,6,58,64
curs,0.0002,neutral,7,72,79
cunh,0.0002,neutral,3,25,28
envi,0.0002,neutral,3,24,27
comprov,0.0002,neutral,3,19,22
crít,0.0002,neutral,6,53,59
agir,0.0002,neutral,3,22,25
apreci,0.0002,neutral,2,8,10
admir,0.0002,neutral,5,52,57
requisit,0.0002,neutral,2,9,11
abril,0.0002,neutral,3,17,20
rainh,0.0002,neutral,4,31,35
prémi,0.0002,neutral,2,6,8
ileg,0.0002,neutral,2,10,12
estrut,0.0002,neutral,3,18,21
benf,0.0002,neutral,5,35,40
vazi,0.0002,neutral,2,4,6
alan,0.0002,neutral,2,6,8
tecn,0.0002,neutral,2,4,6
ahhhh,0.0002,neutral,2,11,13
orient,0.0002,neutral,2,5,7
meuamigosecret,0.0002,neutral,3,17,20
flávi,0.0002,neutral,2,4,6
emagrec,0.0002,neutral,3,19,22
descans,0.0002,neutral,4,21,25
problematiz,0.0002,neutral,2,4,6
faxin,0.0002,neutral,3,8,11
champ,0.0002,neutral,2,6,8
apost,0.0002,neutral,5,50,55
nagl,0.0002,neutral,3,7,10
valor,0.0002,neutral,4,24,28
bait,0.0002,neutral,2,8,10
torç,0.0002,neutral,2,9,11
óbvi,0.0002,neutral,5,38,43
denunci,0.0002,neutral,5,47,52
cláss,0.0002,neutral,3,20,23
fábi,0.0002,neutral,2,4,6
trajetór,0.0002,neutral,2,5,7
revolv,0.0002,neutral,2,4,6
caramb,0.0002,neutral,4,29,33
autoridad,0.0002,neutral,4,30,34
mulequ,0.0002,neutral,3,9,12
bolsominiom,0.0002,neutral,2,10,12
dizim,0.0002,neutral,2,3,5
desnecessár,0.0002,neutral,3,8,11
habib,0.0002,neutral,3,13,16
pertenc,0.0002,neutral,2,10,12
genocídi,0.0002,neutral,3,7,10
pistol,0.0002,neutral,3,12,15
adéli,0.0002,neutral,2,6,8
coré,0.0002,neutral,2,8,10
benefic,0.0002,neutral,2,3,5
preced,0.0002,neutral,2,6,8
talar,0.0002,neutral,2,8,10
gest,0.0002,neutral,3,16,19
verac,0.0002,neutral,2,5,7
cachac,0.0002,neutral,3,8,11
compet,0.0002,neutral,5,47,52
raiz,0.0002,neutral,4,21,25
provid,0.0002,neutral,2,8,10
danç,0.0002,neutral,7,76,83
azeit,0.0002,neutral,2,4,6
altur,0.0002,neutral,3,15,18
rasp,0.0002,neutral,2,7,9
proc,0.0002,neutral,3,25,28
planet,0.0002,neutral,5,48,53
infiltr,0.0002,neutral,2,4,6
terc,0.0002,neutral,4,36,40
econôm,0.0002,neutral,3,14,17
globonew,0.0002,neutral,2,9,11
caret,0.0002,neutral,2,4,6
comport,0.0002,neutral,4,22,26
cavalg,0.0002,neutral,2,6,8
recuper,0.0002,neutral,3,16,19
naquil,0.0002,neutral,2,4,6
misógin,0.0002,neutral,2,5,7
mamã,0.0002,neutral,5,47,52
descol,0.0002,neutral,2,8,10
ateíst,0.0002,neutral,2,4,6
pouq,0.0002,neutral,4,25,29
pist,0.0002,neutral,3,14,17
prox,0.0002,neutral,2,10,12
falec,0.0002,neutral,3,8,11
enxerg,0.0002,neutral,4,25,29
medi,0.0002,neutral,3,11,14
meli,0.0002,neutral,2,6,8
canet,0.0002,neutral,2,8,10
automatic,0.0002,neutral,2,4,6
fant,0.0002,neutral,2,11,13
meud,0.0002,neutral,2,4,6
folg,0.0002,neutral,3,14,17
carr,0.0002,neutral,12,141,153
merend,0.0002,neutral,2,5,7
funç,0.0002,neutral,2,11,13
simpat,0.0002,neutral,2,7,9
adolesc,0.0002,neutral,3,22,25
rebat,0.0002,neutral,2,10,12
fronteir,0.0002,neutral,3,10,13
jardim,0.0002,neutral,3,20,23
odebrecht,0.0002,neutral,3,10,13
genr,0.0002,neutral,2,3,5
recurs,0.0002,neutral,3,22,25
press,0.0002,neutral,4,29,33
desarm,0.0002,neutral,3,13,16
refut,0.0002,neutral,5,52,57
cald,0.0002,neutral,2,9,11
viaj,0.0002,neutral,6,61,67
marg,0.0002,neutral,2,9,11
terri,0.0002,neutral,2,4,6
reele,0.0002,neutral,2,9,11
perig,0.0002,neutral,6,48,54
cruz,0.0002,neutral,6,51,57
israel,0.0002,neutral,3,10,13
amorrr,0.0002,neutral,2,4,6
enferm,0.0002,neutral,2,8,10
parcer,0.0002,neutral,2,4,6
ativ,0.0002,neutral,4,38,42
emir,0.0002,neutral,2,6,8
homossex,0.0002,neutral,2,9,11
aproveit,0.0002,neutral,4,39,43
velhot,0.0002,neutral,2,6,8
patrulh,0.0002,neutral,2,8,10
respir,0.0002,neutral,3,16,19
critéri,0.0002,neutral,3,11,14
praç,0.0002,neutral,4,24,28
carg,0.0002,neutral,4,35,39
glock,0.0002,neutral,2,4,6
toler,0.0002,neutral,3,19,22
mani,0.0002,neutral,4,32,36
caval,0.0002,neutral,2,11,13
engravid,0.0002,neutral,2,10,12
chernobyl,0.0002,neutral,3,11,14
excre,0.0002,neutral,2,4,6
curt,0.0002,neutral,15,179,194
parqu,0.0002,neutral,2,10,12
intoler,0.0002,neutral,2,10,12
cels,0.0002,neutral,3,20,23
soror,0.0002,neutral,2,3,5
reajust,0.0002,neutral,2,4,6
