term,polarity,score_norm,O_score,pmi_mis,pmi_non,cooc_mis,cooc_non,freq_mis,freq_non,freq_total,origem,categoria_id_sugerida,categoria_nome_sugerida,similaridade,top3_cats
vigarista,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,6,0,7,3,10,semente+pmi,11,Violência Política Digital,0.3589,11:0.359; 1:0.337; 9:0.284
marxismo,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,9,0,3,12,15,pmi_expandido,9,Neossexismo,0.4444,9:0.444; 11:0.341; 6:0.233
batom,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,2,3,5,pmi_expandido,,,0.1914,10:0.191; 3:0.173; 8:0.17
responsabilizar,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,4,1,5,pmi_expandido,,,0.2975,11:0.297; 9:0.252; 5:0.246
fuzilar,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,3,2,5,pmi_expandido,4,Ameaças de Violência,0.3703,4:0.37; 5:0.198; 1:0.194
imoral,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,6,0,6,4,10,semente+pmi,1,Descrédito,0.3908,1:0.391; 9:0.371; 11:0.287
crápula,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,6,0,10,0,10,semente+pmi,1,Descrédito,0.3035,1:0.304; 11:0.209; 3:0.203
moralista,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,5,0,5,semente+pmi,9,Neossexismo,0.5181,9:0.518; 11:0.504; 1:0.411
ingênuo,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,0,4,5,pmi_expandido,1,Descrédito,0.3926,1:0.393; 6:0.26; 2:0.254
emitir,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,1,4,5,pmi_expandido,,,0.1872,5:0.187; 4:0.178; 11:0.092
romance,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,2,3,5,pmi_expandido,,,0.2335,6:0.234; 9:0.208; 2:0.157
basta,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,1,4,5,pmi_expandido,,,0.0673,8:0.067; 2:0.066; 1:0.066
exercito,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,4,1,5,pmi_expandido,,,0.2541,11:0.254; 5:0.228; 9:0.227
pasto,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,2,3,5,pmi_expandido,,,0.2199,5:0.22; 10:0.182; 8:0.176
cova,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,4,1,5,pmi_expandido,,,0.1806,3:0.181; 8:0.178; 4:0.176
serpente,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,4,1,5,pmi_expandido,10,Misogynoir,0.3352,10:0.335; 2:0.316; 3:0.287
far,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,0,5,5,pmi_expandido,,,0.018,6:0.018; 3:0.007; 5:0.007
sapatona,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,2,3,5,pmi_expandido,3,Assédio Sexual,0.3801,3:0.38; 8:0.305; 10:0.276
cafajeste,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,5,0,5,semente+pmi,3,Assédio Sexual,0.32,3:0.32; 1:0.307; 2:0.251
asno,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,4,1,5,pmi_expandido,,,0.2237,1:0.224; 3:0.125; 10:0.123
decência,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,2,3,5,pmi_expandido,9,Neossexismo,0.3968,9:0.397; 11:0.364; 2:0.244
ess,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,2,3,5,pmi_expandido,,,0.0373,1:0.037; 9:0.012; 6:0.01
dino,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,3,2,5,pmi_expandido,,,0.0965,11:0.097; 10:0.091; 3:0.085
enganar,misogino,1.703818487253571,1.703818487253571,0.8317628102497309,-0.8720556770038403,13,2,21,30,53,pmi_expandido,4,Ameaças de Violência,0.3891,4:0.389; 1:0.318; 5:0.255
guerra,misogino,1.703818487253571,1.703818487253571,0.4713213835155216,-1.2324971037380494,13,2,18,55,76,pmi_expandido,,,0.2799,11:0.28; 9:0.265; 4:0.239
burra,misogino,1.7038184872535709,1.7038184872535709,-0.2731190914319742,-1.9769375786855448,13,2,97,60,160,semente+pmi,1,Descrédito,0.516,1:0.516; 3:0.376; 2:0.304
árabe,misogino,1.6981088656076289,1.6981088656076289,1.6981088656076289,0.0,7,0,3,9,12,pmi_expandido,,,0.1647,9:0.165; 10:0.147; 1:0.113
calar,misogino,1.677843000850311,1.677843000850311,0.5181052513946892,-1.1597377494556214,19,3,37,67,106,pmi_expandido,4,Ameaças de Violência,0.4112,4:0.411; 5:0.295; 1:0.288
verdadeiro,misogino,1.6778430008503102,1.6778430008503102,0.6597557684577159,-1.0180872323925945,19,3,31,61,92,pmi_expandido,9,Neossexismo,0.3366,9:0.337; 1:0.27; 2:0.267
forabolsonarar,misogino,1.677489578404893,1.677489578404893,1.677489578404893,0.0,4,0,5,2,7,semente+pmi,,,0.0,
inescrupuloso,misogino,1.677489578404893,1.677489578404893,1.677489578404893,0.0,4,0,4,3,7,pmi_expandido,1,Descrédito,0.3329,1:0.333; 2:0.217; 4:0.206
desocupar,misogino,1.677489578404893,1.677489578404893,1.677489578404893,0.0,4,0,3,4,7,pmi_expandido,4,Ameaças de Violência,0.3628,4:0.363; 5:0.32; 7:0.18
fdps,misogino,1.677489578404893,1.677489578404893,1.677489578404893,0.0,4,0,4,3,7,pmi_expandido,,,0.0699,1:0.07; 4:0.069; 6:0.054
venezuelano,misogino,1.677489578404893,1.677489578404893,1.677489578404893,0.0,8,0,9,4,14,semente+pmi,11,Violência Política Digital,0.3228,11:0.323; 9:0.168; 1:0.108
cachaceiro,misogino,1.677489578404893,1.677489578404893,1.677489578404893,0.0,4,0,3,4,7,pmi_expandido,3,Assédio Sexual,0.3032,3:0.303; 10:0.279; 5:0.262
bruto,misogino,1.677489578404893,1.677489578404893,1.677489578404893,0.0,4,0,3,4,7,pmi_expandido,,,0.1183,1:0.118; 2:0.115; 8:0.106
plantão,misogino,1.677489578404893,1.677489578404893,1.677489578404893,0.0,4,0,3,4,7,pmi_expandido,,,0.1857,5:0.186; 4:0.159; 11:0.147
exercer,misogino,1.677489578404893,1.677489578404893,1.677489578404893,0.0,4,0,3,4,7,pmi_expandido,,,0.2424,5:0.242; 11:0.227; 4:0.205
zombar,misogino,1.677489578404893,1.677489578404893,1.677489578404893,0.0,4,0,3,4,7,pmi_expandido,4,Ameaças de Violência,0.3302,4:0.33; 1:0.301; 7:0.191
frágil,misogino,1.677489578404893,1.677489578404893,1.677489578404893,0.0,4,0,2,5,7,pmi_expandido,2,Estereotipização,0.3701,2:0.37; 1:0.347; 10:0.235
cavalheiro,misogino,1.677489578404893,1.677489578404893,1.677489578404893,0.0,4,0,2,3,7,pmi_expandido,,,0.274,5:0.274; 3:0.269; 2:0.268
vergonha,misogino,1.6588670993913048,1.6588670993913048,0.8594690679635398,-0.799398031427765,87,14,165,169,345,pmi_expandido,1,Descrédito,0.3719,1:0.372; 6:0.337; 3:0.334
deputado,misogino,1.6565656024030255,1.6565656024030255,0.7438388856682575,-0.912726716734768,31,5,38,88,138,pmi_expandido,11,Violência Política Digital,0.4824,11:0.482; 9:0.154; 5:0.095
propina,misogino,1.649318701438197,1.649318701438197,1.649318701438197,0.0,15,0,23,4,27,semente+pmi,,,0.2343,11:0.234; 9:0.109; 5:0.078
corrupta,misogino,1.6493187014381967,1.6493187014381967,1.6493187014381967,0.0,10,0,14,4,18,semente+pmi,1,Descrédito,0.3994,1:0.399; 11:0.317; 9:0.296
desmoralizar,misogino,1.6493187014381967,1.6493187014381967,1.6493187014381967,0.0,5,0,4,5,9,pmi_expandido,4,Ameaças de Violência,0.4048,4:0.405; 11:0.345; 1:0.335
pirralho,misogino,1.6493187014381967,1.6493187014381967,1.6493187014381967,0.0,5,0,7,0,9,semente+pmi,3,Assédio Sexual,0.3229,3:0.323; 1:0.238; 8:0.237
canalhice,misogino,1.6493187014381967,1.6493187014381967,1.6493187014381967,0.0,5,0,6,3,9,semente+pmi,1,Descrédito,0.3055,1:0.305; 6:0.269; 9:0.2
saquear,misogino,1.6493187014381967,1.6493187014381967,1.6493187014381967,0.0,5,0,6,2,9,semente+pmi,4,Ameaças de Violência,0.367,4:0.367; 5:0.224; 7:0.13
breno,misogino,1.6493187014381967,1.6493187014381967,1.6493187014381967,0.0,5,0,0,4,9,pmi_expandido,,,0.1622,3:0.162; 8:0.117; 11:0.097
investidor,misogino,1.6493187014381967,1.6493187014381967,1.6493187014381967,0.0,5,0,7,0,9,semente+pmi,,,0.1949,11:0.195; 9:0.169; 5:0.16
mula,misogino,1.6493187014381967,1.6493187014381967,1.6493187014381967,0.0,5,0,2,5,9,pmi_expandido,3,Assédio Sexual,0.3259,3:0.326; 1:0.262; 10:0.229
traidor,misogino,1.642398258593623,1.642398258593623,1.642398258593623,0.0,32,0,39,18,58,semente+pmi,,,0.2946,1:0.295; 4:0.22; 11:0.194
custa,misogino,1.6309695627700005,1.6309695627700005,1.6309695627700005,0.0,6,0,9,2,11,semente+pmi,,,0.0661,5:0.066; 7:0.055; 1:0.044
vetar,misogino,1.6309695627700005,1.6309695627700005,1.6309695627700005,0.0,6,0,4,5,11,pmi_expandido,,,0.235,4:0.235; 5:0.188; 11:0.171
acusar,misogino,1.6237757795800347,1.6237757795800347,0.0776211169869435,-1.546154662593091,6,1,10,42,52,pmi_expandido,4,Ameaças de Violência,0.363,4:0.363; 11:0.267; 1:0.262
revolução,misogino,1.6237757795800347,1.6237757795800347,1.4639154781068342,-0.1598603014732005,6,1,4,9,13,pmi_expandido,9,Neossexismo,0.3686,9:0.369; 11:0.357; 2:0.193
neto,misogino,1.6237757795800345,1.6237757795800345,0.3653031894387244,-1.25847259014131,6,1,9,27,39,pmi_expandido,,,0.142,5:0.142; 3:0.141; 8:0.093
queiroz,misogino,1.6237757795800345,1.6237757795800345,0.6276674539062155,-0.996108325673819,6,1,8,18,30,pmi_expandido,,,0.1312,3:0.131; 11:0.123; 2:0.119
droga,misogino,1.6237757795800345,1.6237757795800345,-0.3778544116958823,-2.001630191275917,6,1,21,55,82,pmi_expandido,,,0.2114,4:0.211; 3:0.201; 1:0.183
atrapalhar,misogino,1.6237757795800345,1.6237757795800345,0.315292768864063,-1.3084830107159715,6,1,14,23,41,pmi_expandido,4,Ameaças de Violência,0.3985,4:0.398; 5:0.285; 7:0.268
suportar,misogino,1.6237757795800345,1.6237757795800345,0.7707682975468888,-0.8530074820331458,6,1,7,18,26,pmi_expandido,4,Ameaças de Violência,0.3032,4:0.303; 5:0.263; 7:0.158
fruto,misogino,1.6237757795800345,1.6237757795800345,1.03313256201438,-0.5906432175656546,6,1,4,15,20,pmi_expandido,,,0.199,9:0.199; 2:0.162; 1:0.142
bloquear,misogino,1.6237757795800345,1.6237757795800345,0.7330279695640417,-0.8907478100159928,6,1,4,23,27,pmi_expandido,4,Ameaças de Violência,0.3153,4:0.315; 5:0.205; 7:0.118
patriota,misogino,1.6237757795800345,1.6237757795800345,0.5948776310832247,-1.0288981484968098,6,1,10,21,31,pmi_expandido,11,Violência Política Digital,0.3005,11:0.301; 9:0.291; 1:0.236
câmara,misogino,1.6237757795800345,1.6237757795800345,0.6615690055818967,-0.9622067739981376,6,1,8,21,29,pmi_expandido,,,0.2083,11:0.208; 5:0.119; 7:0.101
maconheiro,misogino,1.6237757795800345,1.6237757795800345,0.7330279695640417,-0.8907478100159928,6,1,6,21,27,pmi_expandido,,,0.2896,3:0.29; 10:0.287; 1:0.281
impeachment,misogino,1.6237757795800345,1.6237757795800345,1.138493077672206,-0.4852827019078284,12,2,6,27,36,pmi_expandido,11,Violência Política Digital,0.4342,11:0.434; 9:0.237; 6:0.218
deputada,misogino,1.6237757795800345,1.6237757795800345,0.5323572741018905,-1.091418505478144,12,2,22,43,66,pmi_expandido,11,Violência Política Digital,0.5396,11:0.54; 9:0.182; 2:0.149
obama,misogino,1.6237757795800345,1.6237757795800345,0.1576638246604799,-1.4661119549195547,6,1,9,36,48,pmi_expandido,,,0.165,11:0.165; 10:0.089; 1:0.088
isenção,misogino,1.6237757795800345,1.6237757795800345,1.726279742574325,0.1025039629942906,6,1,3,5,10,pmi_expandido,,,0.2407,11:0.241; 9:0.215; 5:0.083
verme,misogino,1.6237757795800345,1.6237757795800345,1.0950079657324672,-0.5287678138475672,30,5,59,32,94,semente+pmi,,,0.2419,10:0.242; 3:0.23; 4:0.228
mente,misogino,1.6237757795800345,1.6237757795800345,0.5788772897367835,-1.044898489843251,12,2,19,42,63,pmi_expandido,2,Estereotipização,0.3137,2:0.314; 9:0.305; 1:0.268
adiantar,misogino,1.6237757795800345,1.6237757795800345,0.1168418301402246,-1.5069339494398095,6,1,14,36,50,pmi_expandido,4,Ameaças de Violência,0.3162,4:0.316; 5:0.28; 7:0.192
infeliz,misogino,1.6237757795800345,1.6237757795800345,1.138493077672206,-0.4852827019078284,6,1,10,8,18,semente+pmi,1,Descrédito,0.4682,1:0.468; 2:0.341; 6:0.33
figura,misogino,1.6237757795800345,1.6237757795800345,1.138493077672206,-0.4852827019078284,6,1,7,11,18,pmi_expandido,,,0.2466,9:0.247; 11:0.23; 2:0.222
cretino,misogino,1.6237757795800345,1.6237757795800345,1.3898075059531123,-0.2339682736269222,12,2,17,11,28,semente+pmi,1,Descrédito,0.3984,1:0.398; 6:0.265; 3:0.249
cela,misogino,1.6237757795800345,1.6237757795800345,1.726279742574325,0.1025039629942906,6,1,4,5,10,pmi_expandido,,,0.1987,3:0.199; 4:0.169; 5:0.166
dir,misogino,1.6237757795800345,1.6237757795800345,0.8933706196392209,-0.7304051599408133,6,1,3,20,23,pmi_expandido,,,0.097,11:0.097; 5:0.08; 9:0.028
proteger,misogino,1.6237757795800345,1.6237757795800345,0.4453458971122606,-1.1784298824677737,6,1,8,27,36,pmi_expandido,4,Ameaças de Violência,0.3464,4:0.346; 5:0.263; 7:0.165
inimigo,misogino,1.6237757795800345,1.6237757795800345,0.2222023457980509,-1.4015734337819834,6,1,12,33,45,pmi_expandido,4,Ameaças de Violência,0.3169,4:0.317; 1:0.236; 5:0.221
destruição,misogino,1.6237757795800345,1.6237757795800345,1.1956514915121546,-0.4281242880678797,6,1,5,11,17,pmi_expandido,,,0.2832,4:0.283; 9:0.283; 11:0.274
presa,misogino,1.6237757795800345,1.6237757795800345,0.8933706196392209,-0.7304051599408133,6,1,12,11,23,pmi_expandido,4,Ameaças de Violência,0.3238,4:0.324; 2:0.305; 3:0.28
abusar,misogino,1.6237757795800345,1.6237757795800345,1.1956514915121546,-0.4281242880678797,6,1,5,12,17,pmi_expandido,4,Ameaças de Violência,0.3563,4:0.356; 5:0.247; 7:0.246
patrocinar,misogino,1.6237757795800345,1.6237757795800345,1.8316402582321512,0.2078644786521168,6,1,5,4,9,pmi_expandido,,,0.1961,11:0.196; 4:0.194; 5:0.168
damar,misogino,1.6237757795800345,1.6237757795800345,0.473516774078957,-1.1502590055010773,6,1,12,23,35,pmi_expandido,,,0.0,
asneira,misogino,1.6180661579340925,1.6180661579340925,1.6180661579340925,0.0,7,0,10,3,13,semente+pmi,1,Descrédito,0.386,1:0.386; 11:0.28; 3:0.264
envergonhar,misogino,1.6011165996203192,1.6011165996203192,1.6011165996203192,0.0,9,0,10,6,17,semente+pmi,4,Ameaças de Violência,0.4091,4:0.409; 1:0.374; 5:0.305
cuidado,misogino,1.5666173657400857,1.5666173657400857,1.0629855251640608,-0.5036318405760251,17,3,17,38,55,pmi_expandido,,,0.2186,2:0.219; 5:0.219; 10:0.188
bue,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,7,0,7,7,14,pmi_expandido,,,0.0668,1:0.067; 4:0.035; 6:0.031
favorecer,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,3,0,3,2,6,pmi_expandido,,,0.264,4:0.264; 11:0.262; 9:0.257
elegeur,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,6,0,9,3,12,semente+pmi,,,0.0,
alcolumbre,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,3,0,1,5,6,pmi_expandido,,,0.0,
banqueiro,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,4,0,2,6,8,pmi_expandido,,,0.2556,11:0.256; 5:0.235; 1:0.171
íntegra,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,3,0,2,4,6,pmi_expandido,,,0.1426,11:0.143; 9:0.081; 2:0.02
cinismo,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,3,0,2,4,6,pmi_expandido,9,Neossexismo,0.4382,9:0.438; 6:0.354; 11:0.336
noblat,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,3,0,4,1,6,pmi_expandido,,,0.0,
bandida,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,4,0,8,0,8,semente+pmi,3,Assédio Sexual,0.4066,3:0.407; 1:0.405; 11:0.384
pudor,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,3,0,2,4,6,pmi_expandido,,,0.2511,6:0.251; 1:0.227; 9:0.2
incitar,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,5,0,7,3,10,semente+pmi,4,Ameaças de Violência,0.3726,4:0.373; 5:0.227; 11:0.219
aborteira,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,3,0,3,3,6,pmi_expandido,,,0.0,
pude,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,3,0,0,6,6,pmi_expandido,,,0.0539,8:0.054; 3:0.027; 6:0.023
ladroes,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,3,0,5,1,6,semente+pmi,,,0.221,1:0.221; 4:0.2; 3:0.187
jumento,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,6,0,8,4,12,semente+pmi,,,0.2299,11:0.23; 9:0.21; 10:0.188
gagá,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,3,0,6,0,6,semente+pmi,,,0.1882,1:0.188; 3:0.12; 10:0.083
oportunista,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,8,0,12,4,16,semente+pmi,11,Violência Política Digital,0.4686,11:0.469; 9:0.447; 1:0.401
quintal,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,5,0,7,3,10,semente+pmi,,,0.2145,5:0.214; 3:0.212; 8:0.194
orcrim,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,3,0,1,5,6,pmi_expandido,,,0.0,
implantar,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,3,0,3,3,6,pmi_expandido,,,0.2238,4:0.224; 11:0.198; 5:0.196
ferreira,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,3,0,0,6,6,pmi_expandido,11,Violência Política Digital,0.3076,11:0.308; 10:0.212; 9:0.208
lembr,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,3,0,2,4,6,pmi_expandido,,,0.0,
legislativo,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,4,0,2,6,8,pmi_expandido,11,Violência Política Digital,0.4258,11:0.426; 9:0.276; 5:0.114
impune,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,6,0,4,8,12,pmi_expandido,,,0.2783,1:0.278; 4:0.208; 11:0.183
media,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,4,0,3,5,8,pmi_expandido,,,0.1761,9:0.176; 11:0.129; 1:0.103
capim,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,3,0,3,3,6,pmi_expandido,,,0.2296,10:0.23; 8:0.179; 3:0.149
bonitinha,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,3,0,2,4,6,pmi_expandido,3,Assédio Sexual,0.4624,3:0.462; 2:0.348; 8:0.337
baderneiro,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,3,0,5,1,6,semente+pmi,,,0.2398,11:0.24; 1:0.18; 4:0.17
mocinha,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,4,0,5,2,8,semente+pmi,3,Assédio Sexual,0.5047,3:0.505; 2:0.412; 10:0.338
chef,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,4,0,3,4,8,pmi_expandido,,,0.118,11:0.118; 5:0.106; 3:0.08
socialista,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,8,0,8,7,16,semente+pmi,11,Violência Política Digital,0.5649,11:0.565; 9:0.494; 1:0.241
bolsonarotemrazao,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,3,0,1,5,6,pmi_expandido,,,0.0,
manifestante,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,3,0,4,2,6,pmi_expandido,11,Violência Política Digital,0.4685,11:0.468; 9:0.403; 1:0.283
rebelde,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,4,0,7,1,8,semente+pmi,1,Descrédito,0.3255,1:0.325; 2:0.297; 4:0.233
cúmplice,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,3,0,2,4,6,pmi_expandido,1,Descrédito,0.3168,1:0.317; 2:0.247; 11:0.213
protagonista,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,4,0,1,7,8,pmi_expandido,9,Neossexismo,0.3588,9:0.359; 2:0.333; 11:0.303
pig,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,3,0,3,3,6,pmi_expandido,,,0.1367,3:0.137; 10:0.094; 8:0.08
marcha,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,4,0,3,5,8,pmi_expandido,,,0.2105,11:0.211; 9:0.154; 10:0.152
íntegro,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,3,0,2,4,6,pmi_expandido,,,0.0762,9:0.076; 11:0.072; 2:0.046
reager,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,3,0,2,4,6,pmi_expandido,,,0.0,
master,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,4,0,3,5,8,pmi_expandido,,,0.0555,3:0.056; 8:0.045; 5:0.031
fanático,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,3,0,2,4,6,pmi_expandido,1,Descrédito,0.3108,1:0.311; 9:0.263; 6:0.22
facção,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,3,0,2,3,6,pmi_expandido,11,Violência Política Digital,0.3173,11:0.317; 9:0.206; 4:0.158
emma,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,4,0,3,5,8,pmi_expandido,,,0.1465,3:0.147; 2:0.095; 8:0.066
ira,misogino,1.5439581857803706,1.5439581857803706,1.5439581857803706,0.0,3,0,2,4,6,pmi_expandido,,,0.1254,4:0.125; 1:0.12; 8:0.104
hetero,misogino,1.5367644025904048,1.5367644025904048,0.5574631952329668,-0.979301207357438,11,2,19,40,59,pmi_expandido,9,Neossexismo,0.3372,9:0.337; 3:0.273; 10:0.255
mimimi,misogino,1.5367644025904048,1.5367644025904048,0.5406560769165857,-0.996108325673819,11,2,29,27,60,pmi_expandido,6,Derailing,0.3277,6:0.328; 1:0.261; 3:0.193
ignorante,misogino,1.5367644025904048,1.5367644025904048,0.9461211850247502,-0.5906432175656546,11,2,16,24,40,pmi_expandido,1,Descrédito,0.5452,1:0.545; 9:0.406; 2:0.383
governo,misogino,1.5236923210230522,1.5236923210230522,0.7359562293431301,-0.787736091679922,76,14,103,215,341,pmi_expandido,11,Violência Política Digital,0.4814,11:0.481; 9:0.251; 5:0.142
política,misogino,1.5059927439236511,1.5059927439236511,0.4879055115310567,-1.0180872323925945,16,3,34,57,92,pmi_expandido,11,Violência Política Digital,0.5203,11:0.52; 9:0.453; 2:0.23
