term,classe_lexical_sugerida,nome_classe,transversal,dependencia_contextual,exemplo_uso,anotador1_classe,anotador1_dependencia,anotador2_classe,anotador2_dependencia,anotador3_classe,anotador3_dependencia,comentarios
crápula,1,Descrédito,,baixo,"🇧🇷Isso não é um jornalista, muito menos o homem, mas sim um Cafajeste, um crápula, um bicho ruim de chifre, rabo e garfo na pata, um ABUTRE com um microfone na mão. Acho que nem a mãe dele ele respeit…",,,,,,,
moralista,1,Descrédito,,baixo,"Que e esse imundo que se acha o moralista da conduta correta ? Deve ser um daqueles imorais , se achando gente do bem . No fundo tem medo de abrir a bíblia pq sabe o que faz da sua vida e pecaminoso .…",,,,,,,
ingênuo,1,Descrédito,,alto,[label=0] 😂😂😂😂povo ingênuo,,,,,,,
emitir,,,,alto,E O TRUMP HJ TB MANDOU UM RECADO PRA PIRRALHA . PENSO QUE POR MAIS BOA INTENCAO QUE TENHA ELA DEVA CONHECER IN LOCO AS COISAS PRA EMITIR OPINIAO.,,,,,,,
romance,,,,médio,"Já achava a "" Bela e a Fera"" ,ridícula mesmo. Disney sai do armário: ‘_A Bela e a Fera’_ terá romance gay... https://t.co/muCEEmLqxq",,,,,,,
basta,,,,alto,Outra esquerdista cara de pau! Não basta os do Brasil! 😡,,,,,,,
exercito,,,,baixo,"Grande bosta se seu pai fica demorando pra vetar o abuso de autoridade e pra mandar o exercito no congresso, grande bosta essas coisas",,,,,,,
pasto,,,,médio,"E esse tipo de pastor, tem que viver no pasto.",,,,,,,
cova,,,,baixo,Esses corruptos só vão parar quando começarem a morrer...um por um! Eles estão cavando a própria cova.,,,,,,,
serpente,1,Descrédito,T1,baixo,"@bolsonarosp o serpente do diabo ,da morte do noblat sempre fala no blog dele tic tac envolvendo vocês",,,,,,,
far,,,,alto,[label=0] quando uma army agradeceu o Yoongi falando que estava passando por uns problemas e que so far away conseguiu consolar e ajudar ela e o Yoongi ficou todo alegre. esse vídeo sempre me deixa tão feliz. @…,,,,,,,
sapatona,3,Assédio Sexual,,médio,BACHELETA DA TRETA E MUTRETA CHILENA..CANALHA SAPATONA.. BICHELETA..,,,,,,,
cafajeste,3,Assédio Sexual,,baixo,"As mulheres te respeitam Damaris! Continue firme com seus propósitos, não permite que um cafajeste, um troglodita te faça sentir mal! Ignore pessoas que não merecem sua compaixão.😘",,,,,,,
asno,,,,baixo,"Pior do que ele falando esse monte de asneira, é um bando de asno no meio da chuva, na estrada e com um frio da porra pra ouvir essas idiotices e bater palma! 😒😒😒",,,,,,,
decência,1,Descrédito,,médio,"Me solidarizo com a senhora ministra, esse ser que escreveu é completamente desprovido de ética, decência, indoli, moral, um lixo da sociedade e traz consigo a educação que recebeu da própria progenit…",,,,,,,
ess,,,,médio,Ess joice é traidora mesmo ganhou nas costa do presidente e agora traiu,,,,,,,
dino,,,,médio,"Eles não aprendem , Flávio dino foi bater papo traficante e ninguém perguntou como entrou e saiu aonde nem a polícia entra",,,,,,,
enganar,4,Ameaças de Violência,,médio,As viúvas do Partido das trevas PT estão em todos os lugares tentando enganar o povo desinformado e estimulan os analfabetos funcionais a acreditar que podem se dar bem sem fazer esforço nenhum para m…,,,,,,,
guerra,,,,alto,Seu doente! A invasão da Polônia marca o início da segunda guerra mundial onde milhões de pessoas foram mortas e torturadas.,,,,,,,
burra,1,Descrédito,,médio,"Os inteligente na pista kkkk o que mais que a galera sabe me contam eu não sabia dessa será que sou burra, a não eu não estava lá na guerra opis",,,,,,,
árabe,,,,alto,[label=0] @user @user a cultura árabe é semelhante a conservadora brasileira. sorte que o ocidente barrou esse comportamento.,,,,,,,
calar,4,Ameaças de Violência,,alto,"Velhinha safada senil, alguém faça a gentileza de calar esses canalhas, já não suporto mais nem ver a cara desses hipócritas, Bachelet, Macron, Maduro, os petralhas e por aí vai",,,,,,,
verdadeiro,1,Descrédito,,alto,"Sou baiano, já voltei na desgraça do PT e, graças a Deus fui libertado dessa praga. Bolsonaro é o verdadeiro presidente e o melhor do brasil. Chupa esquerdalhas! Lula e sua quadrilha tem que ser estir…",,,,,,,
forabolsonarar,,,,médio,,,,,,,,
inescrupuloso,1,Descrédito,,médio,"[label=0] RT @PastorMalafaia: FELIPE NETO é uma honra ser caluniado por um INESCRUPULOSO como você.Vou lhe dar a chance, na justiça, para você provar _",,,,,,,
desocupar,4,Ameaças de Violência,,médio,,,,,,,,
fdps,,,,médio,"Carta Capital!!!! É lixo!! Escrotos, Mal Amados, Vagabundos, Ordinários, Salafrários, Dementes, Demônios...e ficaria o dia todo escrevendo sobre vcs seus fdps #cartacapitallixo",,,,,,,
venezuelano,1,Descrédito,T2,médio,Penalizada tem que estar do povo Venezuelano e envergonhada por receber propina😱,,,,,,,
cachaceiro,3,Assédio Sexual,,médio,Porque é bandida igualmente a o presidiário cachaceiro do Lula,,,,,,,
bruto,,,,médio,"Porque apesar de ser bruto igual os pés da burra, quando era pequenininho aprendi que em mulher não se bate nem... https://t.co/x9SvwrUSLT",,,,,,,
plantão,,,,médio,"Então esses jornalecos de plantão deverão ser todps presos, pois só praticam fake news, contra o governo Federal, especialmente contra nosso Presidente..afff",,,,,,,
exercer,,,,médio,"Temos uma imprensa podre, jornalistas doentes mentais e sem capacidade de exercer e escrever artigos, uma vergonha, próprios jornalistas ficarem contra seu próprio país.",,,,,,,
zombar,4,Ameaças de Violência,,médio,"O problema nunca é a piada e sim se você é ou não esquerdista. Se for, pode zombar da PM que tá tudo lindo. Na hora _ https://t.co/ICdlGCEHob",,,,,,,
frágil,2,Estereotipização,,alto,Nesse dia das mulheres seria muito bom vocês pararem de retratar a mulher como louca/ciumenta/burra/frágil,,,,,,,
cavalheiro,,,,médio,RT @JOAQUINVOLTOU: VAGABUNDO CHEGA AGARRANDO AS MENINA SEJEM CAVALHEIROS: OLA TUDO BEM VOCÊ É LINDA SEUS LABIOS DEVEM TER GOSTO DE MÉL VAMO _,,,,,,,
vergonha,1,Descrédito,,médio,Essa nao tem vergonha na cara!!,,,,,,,
deputado,1,Descrédito,T2,alto,"OUTRO BANDIDO COMUNISTA Q VCS APOIARAM A REELEIÇÃO DO CHILENO CORRUPTO MESMO SABENDO Q ELE NO GOVERNO PASSADO ENGAVETOU AS 10 MEDIDAS DA LAVA JATO, COMO PODEM DEIXAR DE APOIAREM O MARCEL DEPUTADO BRIL…",,,,,,,
propina,,,,baixo,Demagoga se locupletando com dinheiro de propina,,,,,,,
corrupta,1,Descrédito,,baixo,Oportunista essa corrupta.Agora todos os Comunistas querem se fazer de vítimas.,,,,,,,
desmoralizar,4,Ameaças de Violência,,médio,Todo dia essa esquerda quer desmoralizar nosso governo. 🇧🇷💚🙏🇧🇷🙏🏿,,,,,,,
pirralho,3,Assédio Sexual,,baixo,É pirralho mesmo!,,,,,,,
canalhice,1,Descrédito,,médio,"Vergonha o que fazem esses pseudos ptistas e permanecem impunes, isso é por que eles têm o STF, a câmara e senado ao seu favor, chega de canalhice.",,,,,,,
saquear,4,Ameaças de Violência,,baixo,"Tem que prender os congressistas que saquearam o país e se escondem atrás das leis que os beneficiam, isso sim",,,,,,,
breno,,,,alto,"[label=0] breno quer que eu continue o tt, vsf breno",,,,,,,
investidor,,,,baixo,Muito mimimi bla bla bla.. essa PIRRALHA entende o que da vida. Ah.. va... @joicehasselmannoficial e o investidor que der ouvidos a uma pirralha dessas é pior que ela. Precisamos investigadores que se…,,,,,,,
mula,3,Assédio Sexual,,alto,"😂😂😂É porque a Pepa tem o mesmo espírito ruim do Mula! Deus não ajuda a ficar no alto,a ficar bem,tá sempre se l@scando!Minha mãe dizia: Quem muito quer nada tem! É o caso dela e do Mula! Beijão pra vc…",,,,,,,
traidor,,,,médio,João traidor do movimento!,,,,,,,
custa,,,,baixo,Ter pena de presidiário que custa mais que ESTUDANTE no Brasil? Não mesmo. Tenho pena dos inocentes que acabam nos _ https://t.co/50Ywy7Pio7,,,,,,,
vetar,,,,médio,"Grande bosta se seu pai fica demorando pra vetar o abuso de autoridade e pra mandar o exercito no congresso, grande bosta essas coisas",,,,,,,
acusar,4,Ameaças de Violência,,alto,Eles são assim...matam a pessoa e acusar a polícia de chegar atrasado .... quem cometeu o crime ela não quer nem saber né?,,,,,,,
revolução,1,Descrédito,,alto,"Jamais desistir! Este país é nosso. Este canalha convoca abertamente os marginais para apoiá-lo em uma revolução, quando diz que não suporta ver a polícia oprimir jovens que roubam celulares. Que tama…",,,,,,,
neto,,,,alto,"RT @JoaquimTexera: MEU NETO PEDIU PRA SER ""TRANS"" COMPREI UM CARRINHO DE MÃO, AGORA ELE É TRANSPORTADOR DE BRITA. DESLIGUEI DO @EncontroFa _",,,,,,,
queiroz,,,,alto,"A esquerda é teimosa, esquece esse lixo. Deixa ele falar, se ninguém ligar pra isso e ser um jeito de achar o Queiroz, logo logo ele cala a boca. Mas vcs ficam dando audiência pra essas idiotices.",,,,,,,
droga,,,,alto,Qual a droga que ele anda consumindo em? Pqp! 🤦,,,,,,,
atrapalhar,4,Ameaças de Violência,,alto,"OUTRO BANDIDO COMUNISTA Q VCS APOIARAM A REELEIÇÃO DO CHILENO CORRUPTO MESMO SABENDO Q ELE NO GOVERNO PASSADO ENGAVETOU AS 10 MEDIDAS DA LAVA JATO, COMO PODEM DEIXAR DE APOIAREM O MARCEL DEPUTADO BRIL…",,,,,,,
suportar,4,Ameaças de Violência,,alto,Até quando vamos suportar estes INSANOS ?? MINIONS DESGRAÇADOSSSSS ! SERA QUE 33 MILHOES QUE NAO FORAM VOTAR VAO FICAR COM A BUNDA NO SOFA NOVAMENTE ?? ELES NÃO SAO MAIORIA PELO AMOR DE DEUS ! OU JUNT…,,,,,,,
fruto,,,,alto,"Quando ouvimos uma sujeita dessas 💩 falando assim é sinal que estamos no caminho certo. Ela gostava do Brasil quando recebia mesada, dinheiro fruto de roubo.",,,,,,,
bloquear,4,Ameaças de Violência,,alto,"Só não entendo porque têm tto robô que defendem esse desgoverno atual na tua página,será que é para testar tua paciência ou porque não são alfabetizados.?? Têm que bloquear esses eleitores acéfalos qu…",,,,,,,
patriota,1,Descrédito,T2,alto,"No Brasil ñ pensou, e sim na sua pessoa. Patriota de bosta",,,,,,,
câmara,,,,alto,"O Brasil está se tornando uma ditadura dos corruptos ! Estamos assistindo o congresso desrespeitar o executivo, o STF fazendo barbaridades pra soltar bandidos!! De quem é a culpa ? A culpa é de todos…",,,,,,,
maconheiro,,,,alto,"@BolsonaroSP puta playboy maconheiro, ganhou filme exaltando ele feito com nosso dinheiro ainda",,,,,,,
impeachment,1,Descrédito,T2,alto,Que dia é o impeachment desse senhor mesmo? Já deu 💩💩💩💩💩💩💩💩💩💩💩💩💩💩,,,,,,,
deputada,1,Descrédito,T2,alto,"Deputada com certeza a sua massa cinzenta não foi feita para separar o par de orelhas. Está na constituição sim, manifestações são livres e podem sim serem feitas e em locais públicos, independente de…",,,,,,,
obama,,,,alto,#Extra #DonaldTRUMP revogou a ordem de #Obama e retirou os banheiros transgêneros das escola. parabéns... https://t.co/pDNr2gXXeu,,,,,,,
isenção,,,,alto,Porra....sem essa de devolver isenção pro pastores mercenari0s....não dá pra engolir isso.,,,,,,,
verme,,,,médio,"Vou ver não, seu verme.",,,,,,,
mente,2,Estereotipização,,alto,Se prender a turma do lula que passa o dia soltando mentiras. Como o caso do @brasil_247 que só mente,,,,,,,
adiantar,4,Ameaças de Violência,,alto,"Vai adiantar o que ?? Se condenado, continuará livre, pode recorrer a vida inteira 😏Esse STF é um lixo .. Uma vergonha",,,,,,,
infeliz,1,Descrédito,,médio,"Falta de RESPEITO ao extremo desse infeliz repórter, JUSTIÇA nesse IMBECIL",,,,,,,
figura,,,,alto,"Muito triste ver uma pessoa,que desempenha seu trabalho com garra ,coragem e muito profissionalismo,ser atacada dessa maneira!Será que,essa figura torpe,que se diz jornalista,não pensou que atacando u…",,,,,,,
cretino,1,Descrédito,,médio,Isso é mais do que constrangimento! Cretino,,,,,,,
cela,,,,médio,Esses fdp que tinham que ficar em cela com esses criminosos que não vem uma mulher há tempos !!,,,,,,,
dir,,,,alto,[label=0] RT @newdoppelganger: @Estadao que legal esse proselitismo barato sobre muçulmanas. Vamos falar sobre mutilação vaginal também? Falta de dir _,,,,,,,
proteger,4,Ameaças de Violência,,alto,"Qual o medo de ser julgado? O bandido quer usar o STF para proteger ele mas não deu. O maduro do Brasil (Lula), tem que ser impedido, pq se voltar ao poder com dinheiro roubado, Brasil já era.",,,,,,,
inimigo,4,Ameaças de Violência,,alto,"Nunca deveriam ter soltado esse marginal , inimigo da pátria",,,,,,,
destruição,,,,alto,"Pois é @carla.zambelli esta senhora pena do Brasil .... ela tem é sangue nas mãos de uma nação pois dinheiro de corrupção mata cidadão de bem dinheiro este que é desviado de segurança, saúde e educaçã…",,,,,,,
presa,4,Ameaças de Violência,,médio,"Pena eu não tenho de vc corrupta, qdo for presa 👊",,,,,,,
abusar,4,Ameaças de Violência,,alto,vamo ser negro mas nao vamo abusar ne,,,,,,,
patrocinar,,,,médio,,,,,,,,
damar,,,,alto,"Onde estão os malafaias, os crivellas, as damares, os felicianos? Bando de hipócritas, falsos moralistas! E o Ministério Público e seus procuradores?",,,,,,,
asneira,1,Descrédito,,baixo,"Pior do que ele falando esse monte de asneira, é um bando de asno no meio da chuva, na estrada e com um frio da porra pra ouvir essas idiotices e bater palma! 😒😒😒",,,,,,,
envergonhar,4,Ameaças de Violência,,médio,Gente esse cara deve envergonhar até o Satanás.,,,,,,,
cuidado,,,,alto,"Ela que cuidado quintal da própria casa, já que está sujos com dinheiro de propina!!",,,,,,,
bue,,,,médio,Vcs fufas são bue abusadas,,,,,,,
favorecer,,,,médio,Chega de favorecer esses bandidos.,,,,,,,
elegeur,,,,baixo,,,,,,,,
alcolumbre,,,,alto,"Eduardo, ow pena do Brasil ! Vcs lutando por ele .... mas os ratos só prejudicam ! Globo, STF, Rodrigo Maia e o Davi Alcolumbre...agora parte do PSL . Muita força eu desejo para vcs ! Rezo pelo meu pa…",,,,,,,
banqueiro,,,,alto,"Esse Presidente é totalmente Perverso e incompetente. Quem tá por Trás de toda essa desgraça ao Povo Brasileiro, é Banqueiro Ministro. O Povo está sendo usurpado por uma Quadrilha intitulada de GOVERN…",,,,,,,
íntegra,,,,alto,"Pena do Brasil??? O qué será que pensa essa corrupta, tentando dar uma de pessoa íntegra, correta, quando não passa de uma vigarista! 😠🤔😠",,,,,,,
cinismo,1,Descrédito,,alto,"RT @Walgreg: A ESTUPIDEZ, FALTA DE CARÁTER E CINISMO DOS ESQUERDISTAS NÃO TEM LIMITES.... https://t.co/K6FL91oS3m",,,,,,,
noblat,,,,baixo,@bolsonarosp o câncer do noblat sempre fala no blog dele tic tac sobre a chata da Marielle !envolvendo vocês,,,,,,,
bandida,3,Assédio Sexual,,baixo,Porque é uma bandida,,,,,,,
pudor,,,,alto,"Perguntem quantos votos esse energúmeno teve em Roraima, então poderemos ter compreensão do porque ele sente liberdade para as atrocidades que diz e faz sem pudor.",,,,,,,
incitar,4,Ameaças de Violência,,médio,Esse ser deve voltar para a cadeia por incitar a violência. Ele é toda cambada dele,,,,,,,
aborteira,,,,médio,eu aí gay putinha aborteira rs,,,,,,,
pude,,,,alto,"[label=0] Vc tem todo o meu respeito 🙏🇧🇷 já pude ver que vc é sério igual seu pai, não é a toa que o Presidente dos EUA tem estima por vc ! Continue Dudu o Brasil e",,,,,,,
ladroes,,,,baixo,"Que coisa linda a gente não conhecia, ISSO Políticos LADROES NEM IMAGINAVAM QUE; EXISTIAM TANTOS, PORQUE ???, sabia se um entrasse alguém do exercito deu no que deu, tirar verbas de Vagabundos ,;PARA…",,,,,,,
jumento,,,,médio,E AI JUMENTO? HAHAHA TU É BURRO HEIN MANO?,,,,,,,
gagá,,,,baixo,Velha gagá FDP,,,,,,,
oportunista,1,Descrédito,T2,baixo,Oportunista essa corrupta.Agora todos os Comunistas querem se fazer de vítimas.,,,,,,,
quintal,,,,médio,"Ela que cuidado quintal da própria casa, já que está sujos com dinheiro de propina!!",,,,,,,
orcrim,,,,alto,RT @AlexRoussef171: Povo comendo lixo - esta é a prosperidade comunista bolivariana. Luladrão e sua ORCRIM tem que apodrecer na cadeia. htt _,,,,,,,
implantar,,,,médio,Hahaha Prenderam a muçulmana que agita manifestação anti-Trump. Essa vaca quer implantar a sharia nos EUA. https://t.co/IszqexQH92,,,,,,,
ferreira,1,Descrédito,T2,alto,[label=0] Vai ser uma romaria ao Allgarve para Alldrugs! Texto de Patrícia Ferreira Manguinhas https://t.co/iNEydB6VjG,,,,,,,
lembr,,,,alto,Gente burra não sabe o que é ato solene isso não é comemoração é um ato que lembra o fato é homenageia os refugiados da Polônia no Brasil pesquisa antes de fala merda,,,,,,,
legislativo,1,Descrédito,T2,alto,"Pois é... Pena pra fale News: de 2 a 8 anos de prisão. Pena pra quem matar alguém atropelado ou em acidente de trânsito: pra quê prender. Não foi intencional?! Como sempre, só criam leis, com duras pe…",,,,,,,
impune,,,,alto,E ele vai ficar impune? Cassação pra esse ser desprezível!,,,,,,,
media,,,,alto,Dizer que cu não reproduz pra social media do @TwitterMediaBR é ser homofóbico Gayzada ta com o cu ardendo de pisc _ https://t.co/92x3hN2vt9,,,,,,,
capim,,,,médio,"O gado saúda pneu e come capim ... Né... lamentável que tenhamos que passar por situações de fascismo apoiado, discurso de ódio apoiado pela igreja 😢",,,,,,,
bonitinha,3,Assédio Sexual,,alto,@Vivianimonfrad1 ela tem a carinha bonitinha porque é magrinha fosse uma feia gorda o povo já tinha escutado ela né mas como é bonitinha,,,,,,,
baderneiro,,,,baixo,Trancafia esse baderneiro de novo.,,,,,,,
mocinha,3,Assédio Sexual,,médio,"Menininha sororizada, está ainda nas fraldas, Joyce sabe bem onde os caminhos que trilhamos nos levam. Acho desnecessário tanto ódio e caretas no discurso dessa mocinha.",,,,,,,
chef,,,,médio,Falou bem suspeitos porque o chef está ainda solto,,,,,,,
socialista,1,Descrédito,T2,médio,Pena pq a boquinha secou né sua socialista de merda!!!! 👊🏻👊🏻👊🏻,,,,,,,
bolsonarotemrazao,,,,alto,Vichi....CANALHA....#globolixo #globobosta #globonewslixo....#bolsonarotemrazao #somostodosbolsonaro #Bolsonaro2022,,,,,,,
manifestante,1,Descrédito,T2,médio,"Diferença entre ""manifestante"" e ""terrorista"". Esquerdista = vagabundo baderneiro. Conservador = patriota, gente do _ https://t.co/XvQzqwFtHs",,,,,,,
rebelde,1,Descrédito,,baixo,"E ainda por cima é rebelde, frustado, revoltado, isso é as piores qualidades de um ser humano Deus tem misericórdia de nós.🙌🙌",,,,,,,
cúmplice,1,Descrédito,,alto,"[label=0] Só imbecis caem na falácia da ""liberdade de imprensa"" utilizada por Verdevaldo e Crimecept, para justificar uma operação criminosa, levada a cabo pela quadrilha presa na Lava Jato com objetivo de obst…",,,,,,,
protagonista,1,Descrédito,,alto,[label=0] Sugestões para um 2010 melhor: Colocar Chuck Norris como protagonista da série de TV 24hs!,,,,,,,
pig,,,,médio,Sem comentários pra essa Dona.... Fora pig!!!,,,,,,,
marcha,,,,alto,RT @bonisss: A cada dia que passa cresce aindamais os adeptos à Marcha do Orgulho Hétero!!! RT Pelos poucos héteros que restam!!,,,,,,,
íntegro,,,,alto,"Tem uma palavra para a mídia da destaque e está pirralha, medo do governo íntegro, sem roubalheira !",,,,,,,
reager,,,,alto,,,,,,,,
master,,,,alto,mano que mulher é essa que tá no master chef me sinto mt burra #MasterChefBR,,,,,,,
fanático,1,Descrédito,,alto,"[label=0] @user @user @user Nao é meu amigo, apenas nao adianta discutir com fanático por bandido. No dia 25 de julho de 1966 Fernando Santa Cruz, explodiu uma bomba no aeroporto de Guararapes, em Recife, matan…",,,,,,,
facção,1,Descrédito,T2,médio,"O único desejo do Pt facção criminosa é dinheiro é poder,o comunismo é devastador 😟 corrosivo, não faz sentido o comportamento desse pessoal de não aceitar que perderam o poder,bando de doentes egoíst…",,,,,,,
emma,,,,alto,"A Emma Stone podia ir vestida de saco de lixo rodeado de sacos do lixo dentro de um camião de lixo, que nunca estaria mal #Oscars",,,,,,,
ira,,,,alto,"CAPIROTO cansado de derrotas resolveu atacar fantasiado na pele de ""líderes religiosos"", infiltrado em Igrejas frequentadas por gente de fé e do bem, em sua maioria. Vejam quanta pregação de ódio, ira…",,,,,,,
hetero,1,Descrédito,,alto,hetero pode tudo não tem censura né? mas um beijo gay nao pode,,,,,,,
mimimi,,,,médio,"Gente, para que ta dando vergonha. Não defendo nenhuma das duas, não elegi nenhuma das duas, mas respeitem-se pelo amor!!! E vão trabalhar por quem elegeu vocês. Esses mimimi ta nojento!",,,,,,,
ignorante,1,Descrédito,,médio,Comenta sobre a condenação e a péssima gestao a frente da prefeitura. A derrota para o novato Joao Doria e depois para o ignorante xucro JB,,,,,,,
governo,1,Descrédito,T2,alto,Plano da esquerda foi é e será sempre críticar não nunca teve um plano de governo único plano era como roubar .,,,,,,,
política,1,Descrédito,T2,alto,"Sou baiano, já voltei na desgraça do PT e, graças a Deus fui libertado dessa praga. Bolsonaro é o verdadeiro presidente e o melhor do brasil. Chupa esquerdalhas! Lula e sua quadrilha tem que ser estir…",,,,,,,
